"mz","rt","mca_1_l_d2o","mca_1_l_h2o","mca_1_p_d2o","mca_1_p_h2o","mca_12_l_d2o","mca_12_l_h2o","mca_12_p_d2o","mca_12_p_h2o","mca_13_l_d2o","mca_13_l_h2o","mca_13_p_d2o","mca_13_p_h2o","mca_3_l_d2o","mca_3_l_h2o","mca_3_p_d2o","mca_3_p_h2o"
"69","36",89339.2246607208,118518.473846858,34451.1628715316,67466.6647092869,167877.127286568,133229.810030493,92203.5139881808,78454.1515873917,88286.1161149978,109543.716212862,58110.5999985915,30877.9178853815,63151.9390631104,85345.4460605413,62743.7852471924,66642.7719754028
"70.1","48",93566.2794112014,62784.572678833,10266.4330366116,83910.1979641591,38436.1019349407,43258.275215817,14249.397654817,16503.6055975342,139582.497062749,140093.861779861,40462.5023729736,266333.156939273,70335.6250048828,65907.5845125414,14329.863928488,51679.9571532715
"71","36",27224.4756051636,19140.8068752776,9653.08120104223,21565.5667924638,48969.6028692627,36787.6147427091,17126.3442497947,23055.9223711286,49363.1283661099,21358.7020335388,18878.5874191151,9121.59692355989,20990.7330072287,27143.1322337203,19283.6269764827,21784.103893932
"71.1","2594",20751.1719505241,22332.6473701812,19508.2046535328,19279.1206563405,6519.18554221955,4357.00319297994,5924.26999109533,5639.28980150525,19347.9514412521,20966.0570703501,19393.5827268219,20197.0090448796,19852.3508247709,19193.3528777278,4072.01411888213,20621.0885099792
"72.1","48",175475.127229097,133558.162220406,27037.2263748446,309345.817911271,32127.7357748546,32559.0882401275,28494.8365802765,38623.4825049591,98522.0017738723,123882.285229598,24212.1488925834,714332.068683551,115961.902260291,91114.7847446873,47340.9003572945,407808.31810214
"81.1","2503",15570.4378075643,22319.1951925278,13118.9947625465,12141.2879147247,11303.397907562,11151.5968224332,15936.8206871336,13473.8379728396,13305.1493363259,16439.5860843955,14357.0043029522,21168.5909716791,19603.9958742891,18570.7166971212,11156.9096990478,13394.2230611798
"83.1","2503",24592.9082180392,30064.960791092,23226.1976779968,25566.3464511109,15967.28100769,17651.9621219237,23270.2701929504,19813.8121298218,24871.1586338591,29574.5574047317,21321.3277368164,31530.3284538261,31945.1380119527,32126.4935574213,17194.7195272065,18754.6972948288
"84.1","39",237448.187142232,237434.35562934,58595.8395116391,728602.867443238,128930.064062907,124319.291269357,73873.7679568359,81142.1351447472,107495.449787326,418909.649808055,34156.4795091797,1047567.52455389,223969.834796484,530002.587890625,51861.2714751434,509003.890444336
"85","2790",293820.391207451,301249.246121653,300818.050655693,300406.831953469,711677.196177459,719438.194655169,723650.900689651,724505.999676736,295762.7064278,302489.660679403,302548.555611741,300755.058398439,299382.619796312,282547.896533198,722846.909030169,303044.372101292
"85","36",361486.402271039,302659.112807007,15580.5068280862,13478.976883253,849361.545034392,598004.433006114,182405.20357918,159324.849297905,233027.621814761,215165.709641936,197820.715512801,169690.301866846,207131.095025024,368397.49895641,22810.6060514648,11774.342437293
"86.1","63",155593.526008594,185794.385581055,10248.641240414,168449.842955246,32775.4045010742,33609.0398533278,36976.6866071777,56926.4088005183,85489.452708664,83344.4068342209,6872.1300870375,458814.105469971,159015.166201013,273264.282325068,19387.2152898892,165424.104787863
