"mz","rt","sample_name","into","plant_id","day","organ","feed"
69,36,"mca_1_l_d2o",89339.2246607208,"1",5,"l","d2o"
70.1,48,"mca_1_l_d2o",93566.2794112014,"1",5,"l","d2o"
71,36,"mca_1_l_d2o",27224.4756051636,"1",5,"l","d2o"
71.1,2594,"mca_1_l_d2o",20751.1719505241,"1",5,"l","d2o"
72.1,48,"mca_1_l_d2o",175475.127229097,"1",5,"l","d2o"
81.1,2503,"mca_1_l_d2o",15570.4378075643,"1",5,"l","d2o"
83.1,2503,"mca_1_l_d2o",24592.9082180392,"1",5,"l","d2o"
84.1,39,"mca_1_l_d2o",237448.187142232,"1",5,"l","d2o"
85,2790,"mca_1_l_d2o",293820.391207451,"1",5,"l","d2o"
85,36,"mca_1_l_d2o",361486.402271039,"1",5,"l","d2o"
86.1,63,"mca_1_l_d2o",155593.526008594,"1",5,"l","d2o"
87,38,"mca_1_l_d2o",133134.375481306,"1",5,"l","d2o"
88,47,"mca_1_l_d2o",30397.6698371582,"1",5,"l","d2o"
89,56,"mca_1_l_d2o",55943.6619315769,"1",5,"l","d2o"
95.1,2503,"mca_1_l_d2o",27984.0183202598,"1",5,"l","d2o"
97.1,2503,"mca_1_l_d2o",17582.5231365139,"1",5,"l","d2o"
99,2781,"mca_1_l_d2o",200376.923371873,"1",5,"l","d2o"
99,53,"mca_1_l_d2o",252833.270995789,"1",5,"l","d2o"
100,2781,"mca_1_l_d2o",218000.60626972,"1",5,"l","d2o"
101,2782,"mca_1_l_d2o",77475.6072663567,"1",5,"l","d2o"
101,56,"mca_1_l_d2o",37869.6074733665,"1",5,"l","d2o"
102,2781,"mca_1_l_d2o",86566.7821754875,"1",5,"l","d2o"
102.1,47,"mca_1_l_d2o",66102.6422370181,"1",5,"l","d2o"
104.1,42,"mca_1_l_d2o",90327.6770161577,"1",5,"l","d2o"
105,137,"mca_1_l_d2o",32754.3053309462,"1",5,"l","d2o"
106.1,174,"mca_1_l_d2o",17748.776266189,"1",5,"l","d2o"
109,51,"mca_1_l_d2o",37508.7451636804,"1",5,"l","d2o"
109.1,2503,"mca_1_l_d2o",24205.1486085049,"1",5,"l","d2o"
110,36,"mca_1_l_d2o",641542.583823892,"1",5,"l","d2o"
111,39,"mca_1_l_d2o",104421.667138916,"1",5,"l","d2o"
111.1,2341,"mca_1_l_d2o",23124.5422888896,"1",5,"l","d2o"
112,36,"mca_1_l_d2o",200547.335023897,"1",5,"l","d2o"
113,75,"mca_1_l_d2o",72619.6548139224,"1",5,"l","d2o"
113.1,2594,"mca_1_l_d2o",70269.6375148067,"1",5,"l","d2o"
113.1,779,"mca_1_l_d2o",72836.0634555294,"1",5,"l","d2o"
114.1,51,"mca_1_l_d2o",36427.2825352478,"1",5,"l","d2o"
115,36,"mca_1_l_d2o",333454.721479548,"1",5,"l","d2o"
115.1,172,"mca_1_l_d2o",20976.7120158269,"1",5,"l","d2o"
116,2781,"mca_1_l_d2o",28149.8249058255,"1",5,"l","d2o"
116.1,48,"mca_1_l_d2o",194804.270569119,"1",5,"l","d2o"
116.1,173,"mca_1_l_d2o",66573.9633867187,"1",5,"l","d2o"
116.1,275,"mca_1_l_d2o",23716.5416421753,"1",5,"l","d2o"
117,43,"mca_1_l_d2o",68192.7971314586,"1",5,"l","d2o"
118.1,49,"mca_1_l_d2o",603474.737893066,"1",5,"l","d2o"
119.1,49,"mca_1_l_d2o",77552.2614316725,"1",5,"l","d2o"
119.1,2067,"mca_1_l_d2o",7836.80132420326,"1",5,"l","d2o"
120.1,89,"mca_1_l_d2o",769478.222450409,"1",5,"l","d2o"
121.1,51,"mca_1_l_d2o",1936476.27398856,"1",5,"l","d2o"
122.1,60,"mca_1_l_d2o",559102.390427541,"1",5,"l","d2o"
122.9,40,"mca_1_l_d2o",1395296.6857208,"1",5,"l","d2o"
124,48,"mca_1_l_d2o",187947.571973354,"1",5,"l","d2o"
125,2782,"mca_1_l_d2o",217330.250064256,"1",5,"l","d2o"
124.9,40,"mca_1_l_d2o",204728.981944129,"1",5,"l","d2o"
126,2789,"mca_1_l_d2o",324055.69353725,"1",5,"l","d2o"
126,36,"mca_1_l_d2o",302571.568699633,"1",5,"l","d2o"
127,2782,"mca_1_l_d2o",92320.077704589,"1",5,"l","d2o"
127.1,39,"mca_1_l_d2o",811792.540114746,"1",5,"l","d2o"
128.1,37,"mca_1_l_d2o",144379.022551231,"1",5,"l","d2o"
129,68,"mca_1_l_d2o",505539.337134375,"1",5,"l","d2o"
130.1,48,"mca_1_l_d2o",1025669.3539826,"1",5,"l","d2o"
131.1,49,"mca_1_l_d2o",332862.937869077,"1",5,"l","d2o"
131.9,2829,"mca_1_l_d2o",42196.8864562986,"1",5,"l","d2o"
132.1,63,"mca_1_l_d2o",765133.773759014,"1",5,"l","d2o"
133.1,1174,"mca_1_l_d2o",409477.216687953,"1",5,"l","d2o"
133.1,47,"mca_1_l_d2o",820633.561498718,"1",5,"l","d2o"
134.1,47,"mca_1_l_d2o",260970.951195831,"1",5,"l","d2o"
134.1,173,"mca_1_l_d2o",101901.787317773,"1",5,"l","d2o"
135,51,"mca_1_l_d2o",193981.46880406,"1",5,"l","d2o"
135.1,1241,"mca_1_l_d2o",162081.699598913,"1",5,"l","d2o"
135.1,985,"mca_1_l_d2o",112408.410653212,"1",5,"l","d2o"
135,227,"mca_1_l_d2o",84621.0392548829,"1",5,"l","d2o"
136.1,48,"mca_1_l_d2o",217532.154525238,"1",5,"l","d2o"
137.1,267,"mca_1_l_d2o",919642.736896552,"1",5,"l","d2o"
137.1,48,"mca_1_l_d2o",1453401.29755276,"1",5,"l","d2o"
138.1,49,"mca_1_l_d2o",1795474.25797082,"1",5,"l","d2o"
139,2781,"mca_1_l_d2o",69883.4218625586,"1",5,"l","d2o"
139,381,"mca_1_l_d2o",152054.105106027,"1",5,"l","d2o"
139,69,"mca_1_l_d2o",518175.62795517,"1",5,"l","d2o"
140,68,"mca_1_l_d2o",69878.9857086182,"1",5,"l","d2o"
141,76,"mca_1_l_d2o",121315.625444183,"1",5,"l","d2o"
142.1,38,"mca_1_l_d2o",117303.680122728,"1",5,"l","d2o"
143,75,"mca_1_l_d2o",252044.479844971,"1",5,"l","d2o"
144,2786,"mca_1_l_d2o",330756.93645312,"1",5,"l","d2o"
144.1,179,"mca_1_l_d2o",81840.8672320313,"1",5,"l","d2o"
144.1,49,"mca_1_l_d2o",19202.0767356818,"1",5,"l","d2o"
145,51,"mca_1_l_d2o",233877.891252629,"1",5,"l","d2o"
146,2782,"mca_1_l_d2o",75177.7419276116,"1",5,"l","d2o"
146.1,48,"mca_1_l_d2o",91739.474928912,"1",5,"l","d2o"
147,481,"mca_1_l_d2o",1475944.70034374,"1",5,"l","d2o"
147,397,"mca_1_l_d2o",1861394.62048295,"1",5,"l","d2o"
147,652,"mca_1_l_d2o",429102.788333332,"1",5,"l","d2o"
147.1,47,"mca_1_l_d2o",1123766.26002781,"1",5,"l","d2o"
148.1,47,"mca_1_l_d2o",1746126.64161924,"1",5,"l","d2o"
148,481,"mca_1_l_d2o",148044.297146484,"1",5,"l","d2o"
148,395,"mca_1_l_d2o",195604.937214577,"1",5,"l","d2o"
149,2277,"mca_1_l_d2o",93019.7793603517,"1",5,"l","d2o"
149,2169,"mca_1_l_d2o",36422.852928772,"1",5,"l","d2o"
149,2594,"mca_1_l_d2o",396010.149613669,"1",5,"l","d2o"
149,2392,"mca_1_l_d2o",33267.3682324218,"1",5,"l","d2o"
149.1,2060,"mca_1_l_d2o",45981.776015395,"1",5,"l","d2o"
149.1,779,"mca_1_l_d2o",170257.538757513,"1",5,"l","d2o"
149.1,47,"mca_1_l_d2o",496614.369861264,"1",5,"l","d2o"
150,2795,"mca_1_l_d2o",46981.6420259232,"1",5,"l","d2o"
150,2594,"mca_1_l_d2o",36292.3932312803,"1",5,"l","d2o"
150.1,286,"mca_1_l_d2o",135406.181411638,"1",5,"l","d2o"
150.1,52,"mca_1_l_d2o",176117.327665558,"1",5,"l","d2o"
151,40,"mca_1_l_d2o",430288.328683339,"1",5,"l","d2o"
152.1,173,"mca_1_l_d2o",533337.870396093,"1",5,"l","d2o"
152.1,274,"mca_1_l_d2o",196423.469732868,"1",5,"l","d2o"
152.1,50,"mca_1_l_d2o",11093708.9743438,"1",5,"l","d2o"
153.1,174,"mca_1_l_d2o",67376.6849071124,"1",5,"l","d2o"
153.1,50,"mca_1_l_d2o",2253657.24402883,"1",5,"l","d2o"
154.1,48,"mca_1_l_d2o",1925276.43168435,"1",5,"l","d2o"
155,253,"mca_1_l_d2o",167698.177943638,"1",5,"l","d2o"
155.1,48,"mca_1_l_d2o",761994.310728149,"1",5,"l","d2o"
156.1,46,"mca_1_l_d2o",568147.228380432,"1",5,"l","d2o"
157.1,48,"mca_1_l_d2o",526029.63702583,"1",5,"l","d2o"
158.2,1817,"mca_1_l_d2o",263168.933893698,"1",5,"l","d2o"
159.2,1818,"mca_1_l_d2o",29471.801228551,"1",5,"l","d2o"
159.1,49,"mca_1_l_d2o",160248.029483802,"1",5,"l","d2o"
160.1,69,"mca_1_l_d2o",2177561.59892212,"1",5,"l","d2o"
161.1,58,"mca_1_l_d2o",466291.553887143,"1",5,"l","d2o"
161.1,778,"mca_1_l_d2o",202537.687572117,"1",5,"l","d2o"
162,2781,"mca_1_l_d2o",39006.8147709225,"1",5,"l","d2o"
162.1,68,"mca_1_l_d2o",125215.11673152,"1",5,"l","d2o"
163,231,"mca_1_l_d2o",5106490.6698236,"1",5,"l","d2o"
163,616,"mca_1_l_d2o",244216.339866984,"1",5,"l","d2o"
163,470,"mca_1_l_d2o",184320.287041506,"1",5,"l","d2o"
163.1,779,"mca_1_l_d2o",266610.436214696,"1",5,"l","d2o"
163.1,1719,"mca_1_l_d2o",118720.69809919,"1",5,"l","d2o"
163.1,53,"mca_1_l_d2o",51815.5849757603,"1",5,"l","d2o"
164,228,"mca_1_l_d2o",479730.9976531,"1",5,"l","d2o"
164.1,62,"mca_1_l_d2o",662415.228029119,"1",5,"l","d2o"
165.1,2747,"mca_1_l_d2o",651652.031009465,"1",5,"l","d2o"
165.1,67,"mca_1_l_d2o",255475.659692758,"1",5,"l","d2o"
166.1,82,"mca_1_l_d2o",2863398.34032348,"1",5,"l","d2o"
167,2594,"mca_1_l_d2o",70810.1869443513,"1",5,"l","d2o"
167,2169,"mca_1_l_d2o",19765.5553661728,"1",5,"l","d2o"
167.1,2060,"mca_1_l_d2o",122699.18350044,"1",5,"l","d2o"
167.1,797,"mca_1_l_d2o",56084.8348230921,"1",5,"l","d2o"
167.1,98,"mca_1_l_d2o",630286.819168436,"1",5,"l","d2o"
168.1,68,"mca_1_l_d2o",58891.1038775313,"1",5,"l","d2o"
169,77,"mca_1_l_d2o",232669.686315234,"1",5,"l","d2o"
169.1,72,"mca_1_l_d2o",38720.772605242,"1",5,"l","d2o"
169.1,173,"mca_1_l_d2o",24373.9648896824,"1",5,"l","d2o"
170,78,"mca_1_l_d2o",109134.318087158,"1",5,"l","d2o"
170.1,50,"mca_1_l_d2o",34066.3139489981,"1",5,"l","d2o"
171,134,"mca_1_l_d2o",1278810.74576322,"1",5,"l","d2o"
172,131,"mca_1_l_d2o",103212.577241753,"1",5,"l","d2o"
173,54,"mca_1_l_d2o",73676.0761611328,"1",5,"l","d2o"
173.2,2130,"mca_1_l_d2o",17117.3655942531,"1",5,"l","d2o"
174.1,51,"mca_1_l_d2o",242448.753587695,"1",5,"l","d2o"
174.1,173,"mca_1_l_d2o",242568.396540527,"1",5,"l","d2o"
175.1,49,"mca_1_l_d2o",95268.1803939156,"1",5,"l","d2o"
175.1,698,"mca_1_l_d2o",629609.914166918,"1",5,"l","d2o"
175.1,174,"mca_1_l_d2o",26339.352892817,"1",5,"l","d2o"
176,45,"mca_1_l_d2o",180858.157324219,"1",5,"l","d2o"
176.1,77,"mca_1_l_d2o",167020.637562256,"1",5,"l","d2o"
176.5,278,"mca_1_l_d2o",65676.775520462,"1",5,"l","d2o"
177.1,59,"mca_1_l_d2o",925546.073010864,"1",5,"l","d2o"
177.1,576,"mca_1_l_d2o",635195.55444057,"1",5,"l","d2o"
177.1,1197,"mca_1_l_d2o",725172.501530176,"1",5,"l","d2o"
177.1,729,"mca_1_l_d2o",53329.4860910062,"1",5,"l","d2o"
178,269,"mca_1_l_d2o",363673.692128906,"1",5,"l","d2o"
178.1,73,"mca_1_l_d2o",627597.843596191,"1",5,"l","d2o"
179.1,78,"mca_1_l_d2o",111920.597472382,"1",5,"l","d2o"
179.1,1950,"mca_1_l_d2o",42335.3895284176,"1",5,"l","d2o"
180,46,"mca_1_l_d2o",85567.1883258929,"1",5,"l","d2o"
180.1,1818,"mca_1_l_d2o",66871.9532570047,"1",5,"l","d2o"
181.1,2079,"mca_1_l_d2o",58813.7029273531,"1",5,"l","d2o"
181,521,"mca_1_l_d2o",13091.3666390722,"1",5,"l","d2o"
182,42,"mca_1_l_d2o",97099.5405906539,"1",5,"l","d2o"
182.1,66,"mca_1_l_d2o",1235240.48374329,"1",5,"l","d2o"
183,41,"mca_1_l_d2o",235626.358512185,"1",5,"l","d2o"
