"mz","rt","sample_name","day","organ","feed","into_norm"
69,36,"mca_1_l_d2o",5,"l","d2o",161553.751646873
69,36,"mca_1_l_h2o",5,"l","h2o",238948.535981569
69,36,"mca_1_p_d2o",5,"p","d2o",59398.5566750549
69,36,"mca_1_p_h2o",5,"p","h2o",121927.707305941
69,36,"mca_12_l_d2o",0,"l","d2o",621767.138098403
69,36,"mca_12_l_h2o",0,"l","h2o",530267.900618877
69,36,"mca_12_p_d2o",0,"p","d2o",334070.702855727
69,36,"mca_12_p_h2o",0,"p","h2o",381063.02199592
69,36,"mca_13_l_d2o",15,"l","d2o",189049.499175583
69,36,"mca_13_l_h2o",15,"l","h2o",141896.005457075
69,36,"mca_13_p_d2o",15,"p","d2o",167626.730765165
69,36,"mca_13_p_h2o",15,"p","h2o",39587.0742120274
69,36,"mca_3_l_d2o",10,"l","d2o",83204.1357880242
69,36,"mca_3_l_h2o",10,"l","h2o",88257.9586975608
69,36,"mca_3_p_d2o",10,"p","d2o",117644.597338486
69,36,"mca_3_p_h2o",10,"p","h2o",93424.4466944886
70.1,48,"mca_1_l_d2o",5,"l","d2o",169197.611955156
70.1,48,"mca_1_l_h2o",5,"l","h2o",126581.799755712
70.1,48,"mca_1_p_d2o",5,"p","d2o",17700.7466148477
70.1,48,"mca_1_p_h2o",5,"p","h2o",151644.936079806
70.1,48,"mca_12_l_d2o",0,"l","d2o",142355.933092374
70.1,48,"mca_12_l_h2o",0,"l","h2o",172172.239664943
70.1,48,"mca_12_p_d2o",0,"p","d2o",51628.2523725252
70.1,48,"mca_12_p_h2o",0,"p","h2o",80160.3700451699
70.1,48,"mca_13_l_d2o",15,"l","d2o",298891.856665414
70.1,48,"mca_13_l_h2o",15,"l","h2o",181468.732875468
70.1,48,"mca_13_p_d2o",15,"p","d2o",116718.756845114
70.1,48,"mca_13_p_h2o",15,"p","h2o",341452.765306759
70.1,48,"mca_3_l_d2o",10,"l","d2o",92668.8076480668
70.1,48,"mca_3_l_h2o",10,"l","h2o",68156.7575103841
70.1,48,"mca_3_p_d2o",10,"p","d2o",26868.494865915
70.1,48,"mca_3_p_h2o",10,"p","h2o",72448.5380653328
71,36,"mca_1_l_d2o",5,"l","d2o",49230.5164650337
71,36,"mca_1_l_h2o",5,"l","h2o",38590.336442092
71,36,"mca_1_p_d2o",5,"p","d2o",16643.2434500729
71,36,"mca_1_p_h2o",5,"p","h2o",38973.9158899949
71,36,"mca_12_l_d2o",0,"l","d2o",181368.899515789
71,36,"mca_12_l_h2o",0,"l","h2o",146418.367135161
71,36,"mca_12_p_d2o",0,"p","d2o",62051.9719195459
71,36,"mca_12_p_h2o",0,"p","h2o",111985.908659773
71,36,"mca_13_l_d2o",15,"l","d2o",105702.630334282
71,36,"mca_13_l_h2o",15,"l","h2o",27666.7124786772
71,36,"mca_13_p_d2o",15,"p","d2o",54457.4637089849
71,36,"mca_13_p_h2o",15,"p","h2o",11694.3550302049
71,36,"mca_3_l_d2o",10,"l","d2o",27655.7747130813
71,36,"mca_3_l_h2o",10,"l","h2o",28069.4231992971
71,36,"mca_3_p_d2o",10,"p","d2o",36156.800580905
71,36,"mca_3_p_h2o",10,"p","h2o",30538.463402708
71.1,2594,"mca_1_l_d2o",5,"l","d2o",37524.7232378375
71.1,2594,"mca_1_l_h2o",5,"l","h2o",45025.4987302042
71.1,2594,"mca_1_p_d2o",5,"p","d2o",33634.8356095396
71.1,2594,"mca_1_p_h2o",5,"p","h2o",34841.7843186878
71.1,2594,"mca_12_l_d2o",0,"l","d2o",24145.1316378503
71.1,2594,"mca_12_l_h2o",0,"l","h2o",17341.3062407162
71.1,2594,"mca_12_p_d2o",0,"p","d2o",21464.7463445482
71.1,2594,"mca_12_p_h2o",0,"p","h2o",27390.8361787411
71.1,2594,"mca_13_l_d2o",15,"l","d2o",41430.30287206
71.1,2594,"mca_13_l_h2o",15,"l","h2o",27158.1050134069
71.1,2594,"mca_13_p_d2o",15,"p","d2o",55943.0270966006
71.1,2594,"mca_13_p_h2o",15,"p","h2o",25893.6013395891
71.1,2594,"mca_3_l_d2o",10,"l","d2o",26155.9299404096
71.1,2594,"mca_3_l_h2o",10,"l","h2o",19848.3483740722
71.1,2594,"mca_3_p_d2o",10,"p","d2o",7635.02647290399
71.1,2594,"mca_3_p_h2o",10,"p","h2o",28908.0680046433
72.1,48,"mca_1_l_d2o",5,"l","d2o",317314.877448639
72.1,48,"mca_1_l_h2o",5,"l","h2o",269270.488347593
72.1,48,"mca_1_p_d2o",5,"p","d2o",46615.9075428359
72.1,48,"mca_1_p_h2o",5,"p","h2o",559058.707068564
72.1,48,"mca_12_l_d2o",0,"l","d2o",118991.613980943
72.1,48,"mca_12_l_h2o",0,"l","h2o",129588.41090598
72.1,48,"mca_12_p_d2o",0,"p","d2o",103242.161522741
72.1,48,"mca_12_p_h2o",0,"p","h2o",187599.772166953
72.1,48,"mca_13_l_d2o",15,"l","d2o",210967.883884094
72.1,48,"mca_13_l_h2o",15,"l","h2o",160469.28138549
72.1,48,"mca_13_p_d2o",15,"p","d2o",69842.7371901432
72.1,48,"mca_13_p_h2o",15,"p","h2o",915810.344466088
72.1,48,"mca_3_l_d2o",10,"l","d2o",152782.479921332
72.1,48,"mca_3_l_h2o",10,"l","h2o",94224.1827763054
72.1,48,"mca_3_p_d2o",10,"p","d2o",88764.1881699271
72.1,48,"mca_3_p_h2o",10,"p","h2o",571693.903881496
81.1,2503,"mca_1_l_d2o",5,"l","d2o",28156.3070661199
81.1,2503,"mca_1_l_h2o",5,"l","h2o",44998.37740429
81.1,2503,"mca_1_p_d2o",5,"p","d2o",22618.9564871493
81.1,2503,"mca_1_p_h2o",5,"p","h2o",21942.086592876
81.1,2503,"mca_12_l_d2o",0,"l","d2o",41864.4366946743
81.1,2503,"mca_12_l_h2o",0,"l","h2o",44384.4649649082
81.1,2503,"mca_12_p_d2o",0,"p","d2o",57742.1039388897
81.1,2503,"mca_12_p_h2o",0,"p","h2o",65444.3558680811
81.1,2503,"mca_13_l_d2o",15,"l","d2o",28490.6838036956
81.1,2503,"mca_13_l_h2o",15,"l","h2o",21294.8006274553
81.1,2503,"mca_13_p_d2o",15,"p","d2o",41414.4354892844
81.1,2503,"mca_13_p_h2o",15,"p","h2o",27139.2191944603
81.1,2503,"mca_3_l_d2o",10,"l","d2o",25828.7165669158
81.1,2503,"mca_3_l_h2o",10,"l","h2o",19204.4640094325
81.1,2503,"mca_3_p_d2o",10,"p","d2o",20919.2056857146
81.1,2503,"mca_3_p_h2o",10,"p","h2o",18776.9482166069
83.1,2503,"mca_1_l_d2o",5,"l","d2o",44471.8050959118
83.1,2503,"mca_1_l_h2o",5,"l","h2o",60614.8403046211
83.1,2503,"mca_1_p_d2o",5,"p","d2o",40045.1684103396
83.1,2503,"mca_1_p_h2o",5,"p","h2o",46204.2405742969
83.1,2503,"mca_12_l_d2o",0,"l","d2o",59138.0778062595
83.1,2503,"mca_12_l_h2o",0,"l","h2o",70256.5656593978
83.1,2503,"mca_12_p_d2o",0,"p","d2o",84312.5731628636
83.1,2503,"mca_12_p_h2o",0,"p","h2o",96238.5160591389
83.1,2503,"mca_13_l_d2o",15,"l","d2o",53257.2990018394
83.1,2503,"mca_13_l_h2o",15,"l","h2o",38309.012182295
83.1,2503,"mca_13_p_d2o",15,"p","d2o",61503.8300100462
83.1,2503,"mca_13_p_h2o",15,"p","h2o",40423.4980177256
83.1,2503,"mca_3_l_d2o",10,"l","d2o",42088.4558787255
83.1,2503,"mca_3_l_h2o",10,"l","h2o",33222.8475257718
83.1,2503,"mca_3_p_d2o",10,"p","d2o",32240.0991135122
83.1,2503,"mca_3_p_h2o",10,"p","h2o",26291.6317217222
84.1,39,"mca_1_l_d2o",5,"l","d2o",429381.893566424
84.1,39,"mca_1_l_h2o",5,"l","h2o",478698.2976398
84.1,39,"mca_1_p_d2o",5,"p","d2o",101027.309502827
84.1,39,"mca_1_p_h2o",5,"p","h2o",1316752.17007815
84.1,39,"mca_12_l_d2o",0,"l","d2o",477518.755788547
84.1,39,"mca_12_l_h2o",0,"l","h2o",494803.149330774
84.1,39,"mca_12_p_d2o",0,"p","d2o",267658.579553753
84.1,39,"mca_12_p_h2o",0,"p","h2o",394118.942131648
84.1,39,"mca_13_l_d2o",15,"l","d2o",230182.97598999
84.1,39,"mca_13_l_h2o",15,"l","h2o",542629.080062248
84.1,39,"mca_13_p_d2o",15,"p","d2o",98528.3062764781
84.1,39,"mca_13_p_h2o",15,"p","h2o",1343035.2878896
84.1,39,"mca_3_l_d2o",10,"l","d2o",295085.421339241
84.1,39,"mca_3_l_h2o",10,"l","h2o",548089.542803128
84.1,39,"mca_3_p_d2o",10,"p","d2o",97239.8840158938
