"mz","rt","sample_name","day","organ","feed","into_norm","metabolite","ion"
272.1,299,"mca_1_l_d2o",5,"l","d2o",3722532.52232143,"norcoclaurine","M0"
272.1,299,"mca_1_l_h2o",5,"l","h2o",7636834.79628698,"norcoclaurine","M0"
272.1,299,"mca_1_p_d2o",5,"p","d2o",245280.818361699,"norcoclaurine","M0"
272.1,299,"mca_1_p_h2o",5,"p","h2o",1022122.82579537,"norcoclaurine","M0"
272.1,299,"mca_12_l_d2o",0,"l","d2o",201917.124227932,"norcoclaurine","M0"
272.1,299,"mca_12_l_h2o",0,"l","h2o",263978.439835328,"norcoclaurine","M0"
272.1,299,"mca_12_p_d2o",0,"p","d2o",255103.553979845,"norcoclaurine","M0"
272.1,299,"mca_12_p_h2o",0,"p","h2o",519573.604768239,"norcoclaurine","M0"
272.1,299,"mca_13_l_d2o",15,"l","d2o",6012648.50213015,"norcoclaurine","M0"
272.1,299,"mca_13_l_h2o",15,"l","h2o",1031011.09178442,"norcoclaurine","M0"
272.1,299,"mca_13_p_d2o",15,"p","d2o",145814.640779044,"norcoclaurine","M0"
272.1,299,"mca_13_p_h2o",15,"p","h2o",1021942.70095903,"norcoclaurine","M0"
272.1,299,"mca_3_l_d2o",10,"l","d2o",2331254.29438089,"norcoclaurine","M0"
272.1,299,"mca_3_l_h2o",10,"l","h2o",10191779.6858842,"norcoclaurine","M0"
272.1,299,"mca_3_p_d2o",10,"p","d2o",18074.8171068491,"norcoclaurine","M0"
272.1,299,"mca_3_p_h2o",10,"p","h2o",3752961.00567993,"norcoclaurine","M0"
286.1,622,"mca_1_l_d2o",5,"l","d2o",21240257.1016485,"coclaurine","M0"
286.1,622,"mca_1_l_h2o",5,"l","h2o",50312576.9359685,"coclaurine","M0"
286.1,622,"mca_1_p_d2o",5,"p","d2o",372178.557252158,"coclaurine","M0"
286.1,622,"mca_1_p_h2o",5,"p","h2o",7713410.03722139,"coclaurine","M0"
286.1,622,"mca_12_l_d2o",0,"l","d2o",738337.763788733,"coclaurine","M0"
286.1,622,"mca_12_l_h2o",0,"l","h2o",539730.464067164,"coclaurine","M0"
