sample,plant_id,organ,feed,tube_g,tube_dry_g,volume_ml
MCA_1_H2O_L,1,l,h2o,1.1989,1.2485,1
MCA_1_H2O_P,1,p,h2o,1.1943,1.2026,0.15
MCA_1_D2O_L,1,l,d2o,1.1956,1.2509,1
MCA_1_D2O_P,1,p,d2o,1.1937,1.2024,0.15
MCA_3_H2O_L,3,l,h2o,1.1996,1.2963,1
MCA_3_H2O_P,3,p,h2o,1.1961,1.2068,0.15
MCA_3_D2O_L,3,l,d2o,1.1956,1.2715,1
MCA_3_D2O_P,3,p,d2o,1.1977,1.2057,0.15
MCA_13_H2O_L,13,l,h2o,1.1907,1.2679,1
MCA_13_H2O_P,13,p,h2o,1.1962,1.2079,0.15
MCA_13_D2O_L,13,l,d2o,1.1904,1.2371,1
MCA_13_D2O_P,13,p,d2o,1.1922,1.1974,0.15
mca_12_l2,12,l,h2o,1.104,1.1241,0.8
mca_12_p2,12,p,h2o,1.0959,1.0994,0.17
mca_12_l1,12,l,d2o,1.1008,1.1197,0.7
mca_12_p1,12,p,d2o,1.1003,1.1141,0.5
