"mz","rt","sample_name","day","organ","feed","into_norm","metabolite","ion"
272.1,299,"mca_1_l_d2o",5,"l","d2o",3722532.52232143,"norcoclaurine","M0"
272.1,299,"mca_1_l_h2o",5,"l","h2o",7636834.79628698,"norcoclaurine","M0"
272.1,299,"mca_13_l_d2o",15,"l","d2o",6012648.50213015,"norcoclaurine","M0"
272.1,299,"mca_13_l_h2o",15,"l","h2o",1031011.09178442,"norcoclaurine","M0"
272.1,299,"mca_3_l_d2o",10,"l","d2o",2331254.29438089,"norcoclaurine","M0"
272.1,299,"mca_3_l_h2o",10,"l","h2o",10191779.6858842,"norcoclaurine","M0"
286.1,622,"mca_1_l_d2o",5,"l","d2o",21240257.1016485,"coclaurine","M0"
286.1,622,"mca_1_l_h2o",5,"l","h2o",50312576.9359685,"coclaurine","M0"
286.1,622,"mca_13_l_d2o",15,"l","d2o",10989370.0526838,"coclaurine","M0"
286.1,622,"mca_13_l_h2o",15,"l","h2o",6033954.31713019,"coclaurine","M0"
286.1,622,"mca_3_l_d2o",10,"l","d2o",14854834.3071146,"coclaurine","M0"
286.1,622,"mca_3_l_h2o",10,"l","h2o",48879545.3509824,"coclaurine","M0"
300.2,347,"mca_1_l_d2o",5,"l","d2o",3770082.83330594,"methylcoclaurine","M0"
300.2,347,"mca_1_l_h2o",5,"l","h2o",4244046.83494949,"methylcoclaurine","M0"
300.2,347,"mca_13_l_d2o",15,"l","d2o",239412.139623455,"methylcoclaurine","M0"
300.2,347,"mca_13_l_h2o",15,"l","h2o",145001.72534106,"methylcoclaurine","M0"
300.2,347,"mca_3_l_d2o",10,"l","d2o",1621275.59595203,"methylcoclaurine","M0"
300.2,347,"mca_3_l_h2o",10,"l","h2o",1358947.68279963,"methylcoclaurine","M0"
330.2,353,"mca_1_l_d2o",5,"l","d2o",203976.672263,"reticuline","M0"
330.2,353,"mca_1_l_h2o",5,"l","h2o",123838.951861323,"reticuline","M0"
330.2,353,"mca_13_l_d2o",15,"l","d2o",225451691.740721,"reticuline","M0"
330.2,353,"mca_13_l_h2o",15,"l","h2o",271283066.483634,"reticuline","M0"
